title,genres,original_language,popularity,production_companies,release_date,budget,revenue,runtime,status,vote_average,vote_count,credits
The Nun II,Horror,en,1696.62,New Line Cinema-Atomic Monster-The Safran Company,2023-09-06,38500000.0,257010000.0,110.0,Released,7.004,1073.0,Taissa Farmiga
The Creator,Science Fiction,en,1595.817,New Regency Pictures-Entertainment One-Regency Enterprises-Bad Dreams,2023-09-27,80000000.0,102000000.0,134.0,Released,7.186,796.0,John David Washington
Alien: Romulus,Horror,en,1496.056,20th Century Studios-Scott Free Productions-Brandywine Productions,2024-08-13,80000000.0,225439383.0,119.0,Released,7.213,628.0,Cailee Spaeny
Damsel,Fantasy,en,1486.614,PCMA Productions-Roth-Kirschenbaum Films,2024-03-07,60000000.0,5000.0,110.0,Released,7.173,1295.0,Millie Bobby Brown
The Hunger Games: The Ballad of Songbirds & Snakes,Drama,en,1329.764,Lionsgate-Color Force,2023-11-15,100000000.0,322300000.0,157.0,Released,7.3,1211.0,Tom Blyth
IF,Comedy,en,1311.852,Paramount Pictures-Sunday Night-Maximum Effort,2024-05-08,110000000.0,176438104.0,104.0,Released,7.5,285.0,Cailey Fleming
A Quiet Place: Day One,Horror,en,1131.329,Paramount Pictures-Platinum Dunes-Sunday Night Productions,2024-06-26,67000000.0,244911350.0,99.0,Released,6.79,546.0,Lupita Nyong'o
Retribution,Action,en,955.039,StudioCanal-The Picture Company-Ombra Films,2023-08-23,20000000.0,12905464.0,93.0,Released,6.836,341.0,Liam Neeson
Puss in Boots: The Last Wish,Animation,en,904.25,DreamWorks Animation-Universal Pictures,2022-12-07,90000000.0,480000000.0,103.0,Released,8.284,5759.0,Antonio Banderas
The Garfield Movie,Animation,en,813.181,Alcon Entertainment-DNEG-Wayfarer Studios-One Cool Group-Stage 6 Films-Andrews McMeel Entertainment-John Cohen Productions,2024-04-30,60000000.0,221871392.0,101.0,Released,7.179,815.0,Chris Pratt
Migration,Animation,en,800.053,Illumination,2023-12-06,72000000.0,289076685.0,83.0,Released,7.563,1009.0,Kumail Nanjiani
Guy Ritchie's The Covenant,War,en,794.125,STX Films-Toff Guy Films,2023-04-19,55000000.0,20000000.0,123.0,Released,7.662,657.0,Jake Gyllenhaal
Expend4bles,Action,en,750.624,Millennium Media-Campbell Grobman Films-Lionsgate,2023-09-15,100000000.0,58000000.0,103.0,Released,6.431,815.0,Sylvester Stallone
Teenage Mutant Ninja Turtles: Mutant Mayhem,Animation,en,729.356,Paramount-Nickelodeon Movies-Point Grey Pictures-Mikros Animation-Cinesite Animation,2023-07-31,70000000.0,161000000.0,100.0,Released,7.248,435.0,Micah Abbey
Sisu,Action,fi,700.136,Subzero Film Entertainment-Good Chaos-Stage 6 Films,2023-01-27,6200000.0,10568631.0,91.0,Released,7.428,858.0,Jorma Tommila
John Wick: Chapter 4,Action,en,659.169,Thunder Road-87Eleven-Summit Entertainment-Studio Babelsberg,2023-03-22,90000000.0,426978565.0,170.0,Released,7.827,4159.0,Keanu Reeves
Evil Dead Rise,Thriller,en,596.615,New Line Cinema-Ghost House Pictures-Renaissance Pictures-Pacific Renaissance Pictures-Wild Atlantic Pictures,2023-04-12,15000000.0,141512122.0,96.0,Released,7.038,1937.0,Lily Sullivan
The Exorcism,Horror,en,583.976,Miramax-Outerbanks Entertainment,2024-05-30,22000000.0,6354317.0,96.0,Released,4.568,110.0,Russell Crowe
Fast X,Action,en,554.411,Universal Pictures-Original Film-One Race-Perfect Storm Entertainment,2023-05-17,340000000.0,704709660.0,142.0,Released,7.1,5161.0,Vin Diesel
Twisters,Action,en,523.435,Universal Pictures-Warner Bros. Pictures-Amblin Entertainment-Domain Entertainment,2024-07-10,155000000.0,274535650.0,123.0,Released,7.145,320.0,Daisy Edgar
The Fall Guy,Action,en,512.661,87North Productions-Entertainment 360-Universal Pictures,2024-04-24,125000000.0,177843881.0,126.0,Released,7.227,1606.0,Ryan Gosling
I Saw the TV Glow,Drama,en,508.27,A24-Fruit Tree-Smudge Films-Hypnic Jerk-Access Entertainment,2024-05-03,10000000.0,4184000.0,100.0,Released,6.007,76.0,Justice Smith
The Exorcist: Believer,Horror,en,492.742,Blumhouse Productions-Morgan Creek-Rough House Pictures-Universal Pictures,2023-10-04,30000000.0,46561805.0,111.0,Released,5.494,82.0,Leslie Odom Jr.
Ghostbusters: Frozen Empire,Fantasy,en,478.162,Ghost Corps-Columbia Pictures,2024-03-20,100000000.0,108500000.0,115.0,Released,6.7,139.0,Mckenna Grace
Guardians of the Galaxy Vol. 2,Adventure,en,459.47,Marvel Studios,2017-04-19,200000000.0,863756051.0,137.0,Released,7.623,19621.0,Chris Pratt
Mission: Impossible - Dead Reckoning Part One,Action,en,455.243,Paramount-Skydance-TC Productions,2023-07-08,291000000.0,567500000.0,164.0,Released,7.586,2735.0,Tom Cruise
Killers of the Flower Moon,Crime,en,452.285,Apple Studios-Imperative Entertainment-Sikelia Productions-Appian Way,2023-10-18,200000000.0,156300000.0,206.0,Released,7.525,2039.0,Leonardo DiCaprio
Star Wars,Adventure,en,441.814,Lucasfilm Ltd.-20th Century Fox,1977-05-25,11000000.0,775398007.0,121.0,Released,8.2,19974.0,Mark Hamill
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Animation,ja,438.335,ufotable-Aniplex-Shueisha-STUDIO MAUSU-TOHO,2020-10-16,15800000.0,503063688.0,117.0,Released,8.281,2966.0,Natsuki Hanae
65,Science Fiction,en,434.038,Raimi Productions-Beck/Woods-Bron Studios-Columbia Pictures,2023-03-02,45000000.0,55000000.0,92.0,Released,6.229,1118.0,Adam Driver
Glass Onion: A Knives Out Mystery,Comedy,en,430.749,T-Street Productions,2022-11-23,40000000.0,13280000.0,140.0,Released,7.095,3584.0,Daniel Craig
Oppenheimer,Drama,en,423.702,Syncopy-Universal Pictures-Atlas Entertainment,2023-07-19,100000000.0,952000000.0,181.0,Released,8.111,7611.0,Cillian Murphy
Inside Out,Animation,en,421.59,Pixar-Walt Disney Pictures,2015-06-17,175000000.0,857611174.0,95.0,Released,7.914,21482.0,Amy Poehler
A Haunting in Venice,Mystery,en,418.706,20th Century Studios-Scott Free Productions-The Mark Gordon Company-Genre Films-Agatha Christie Limited,2023-09-13,60000000.0,110800000.0,104.0,Released,6.794,742.0,Kenneth Branagh
Violent Night,Action,en,407.163,87North Productions-Universal Pictures,2022-11-30,20000000.0,75734910.0,112.0,Released,7.576,1265.0,David Harbour
No Hard Feelings,Comedy,en,395.745,Excellent Cadaver-Odenkirk Provissiero Entertainment-Columbia Pictures,2023-06-15,45000000.0,82995526.0,104.0,Released,6.889,275.0,Jennifer Lawrence
Thor: Love and Thunder,Fantasy,en,394.087,Marvel Studios-Kevin Feige Productions,2022-07-06,250000000.0,760928081.0,119.0,Released,6.625,5488.0,Chris Hemsworth
Medieval,History,en,368.367,JBJ Film-Three Brothers Production,2022-09-08,23000000.0,4311284.0,126.0,Released,7.209,339.0,Ben Foster
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,en,363.431,Walt Disney Pictures-Walden Media-C.S. Lewis Company,2005-12-07,180000000.0,745013115.0,143.0,Released,7.12,9361.0,Georgie Henley
Saw X,Horror,en,363.334,Twisted Pictures-Lionsgate,2023-09-26,13000000.0,100900000.0,118.0,Released,7.4,1176.0,Tobin Bell
Tarot,Horror,en,360.618,Screen Gems-Alloy Entertainment-Ground Control Entertainment-Capstone Pictures,2024-05-01,8250000.0,20215419.0,92.0,Released,4.8,32.0,Harriet Slater
Godzilla x Kong: The New Empire,Action,en,359.753,Legendary Pictures,2024-03-27,150000000.0,567156493.0,115.0,Released,7.164,3566.0,Rebecca Hall
Con Air,Action,en,353.848,Touchstone Pictures-Jerry Bruckheimer Films,1997-06-05,75000000.0,224012234.0,116.0,Released,6.7,3995.0,Nicolas Cage
Godzilla Minus One,Science Fiction,ja,348.423,TOHO-TOHO Studios-Robot Communications,2023-11-03,13000000.0,74000000.0,125.0,Released,8.095,184.0,Ryunosuke Kamiki
Terrifier 2,Horror,en,338.682,Dark Age Cinema-Fuzz on the Lens Productions-Bloody Disgusting,2022-10-06,250000.0,12400000.0,138.0,Released,6.966,1033.0,Lauren LaVera
Poor Things,Science Fiction,en,337.215,Searchlight Pictures-Film4 Productions-TSG Entertainment-Element Pictures-Limp-Fruit Tree,2023-12-07,35000000.0,117193959.0,142.0,Released,7.788,3376.0,Emma Stone
Creed II,Drama,en,329.063,Metro-Goldwyn-Mayer-New Line Cinema-Chartoff-Winkler Productions,2018-11-21,50000000.0,214215889.0,130.0,Released,6.99,4667.0,Michael B. Jordan
Jurassic World Dominion,Adventure,en,326.317,Amblin Entertainment-Universal Pictures,2022-06-01,165000000.0,1001978080.0,147.0,Released,6.9,4493.0,Chris Pratt
Creed,Drama,en,320.743,Metro-Goldwyn-Mayer-New Line Cinema-Chartoff-Winkler Productions,2015-11-25,37000000.0,173567581.0,133.0,Released,7.405,6549.0,Michael B. Jordan
Strange World,Animation,en,318.312,Walt Disney Pictures-Walt Disney Animation Studios,2022-11-23,180000000.0,73621640.0,102.0,Released,6.513,831.0,Jake Gyllenhaal
Horizon: An American Saga - Chapter 1,Drama,en,310.872,Territory Pictures,2024-06-26,50000000.0,31670660.0,181.0,Released,7.023,132.0,Kevin Costner
Missing,Drama,en,310.154,Stage 6 Films-Search Party-Bazelevs Entertainment,2023-01-19,1000000.0,42000000.0,111.0,Released,7.684,122.0,Storm Reid
Bullet Train,Action,en,302.905,87North Productions-Columbia Pictures,2022-07-03,90000000.0,239268602.0,126.0,Released,7.495,3601.0,Brad Pitt
The First Omen,Horror,en,300.859,Phantom Four-20th Century Studios,2024-04-03,30000000.0,53845880.0,119.0,Released,6.824,663.0,Nell Tiger Free
Avatar: The Way of Water,Science Fiction,en,298.881,20th Century Studios-Lightstorm Entertainment,2022-12-14,460000000.0,2320250281.0,192.0,Released,7.656,9794.0,Sam Worthington
Sonic the Hedgehog 2,Action,en,297.805,Original Film-Blur Studio-Marza Animation Planet-Paramount-SEGA,2022-04-08,110000000.0,402656846.0,122.0,Released,7.599,3716.0,James Marsden
Top Gun: Maverick,Action,en,297.574,Skydance-Don Simpson/Jerry Bruckheimer Films-Paramount,2022-05-24,170000000.0,1488732821.0,131.0,Released,8.273,7187.0,Tom Cruise
Avatar,Action,en,296.05,Dune Entertainment-Lightstorm Entertainment-20th Century Fox-Ingenious Media,2009-12-15,237000000.0,2920357254.0,162.0,Released,7.569,28943.0,Sam Worthington
Freelance,Action,en,287.552,Endurance Media-AGC Studios-Sentient Entertainment-Signature Films-Wideangle Films-Lipsync Productions,2023-10-05,40000000.0,8000000.0,108.0,Released,6.491,107.0,John Cena
Godzilla: King of the Monsters,Science Fiction,en,281.797,Legendary Pictures-Huahua Media-TOHO,2019-05-29,170000000.0,386600138.0,132.0,Released,6.69,5839.0,Kyle Chandler
Encanto,Animation,en,281.488,Walt Disney Pictures-Walt Disney Animation Studios,2021-10-13,50000000.0,253000000.0,102.0,Released,7.654,7969.0,Stephanie Beatriz
The Flash,Action,en,279.277,Warner Bros. Pictures-Double Dream-The Disco Factory-DC Films,2023-06-13,300000000.0,268375616.0,144.0,Released,6.835,3292.0,Ezra Miller
The Boy and the Heron,Animation,ja,278.307,Studio Ghibli,2023-07-14,50000000.0,294200000.0,124.0,Released,7.521,1472.0,Soma Santoki
The Crow,Action,en,275.489,The Electric Shadow Company-Davis Films-Pressman Film-Ashland Hill Media Finance-FilmNation Entertainment-Hassell Free Productions-30WEST-Lionsgate-Yellow Flower-Czech Anglo Productions-Maze Pictures,2024-08-21,50000000.0,13690814.0,111.0,Released,5.479,193.0,Bill Skarsgård
Blue Beetle,Action,en,270.688,Warner Bros. Pictures-The Safran Company-DC Films,2023-08-16,104000000.0,129300000.0,128.0,Released,6.873,2151.0,Xolo Mariduena
Hacksaw Ridge,Drama,en,269.007,Permut Presentations-Summit Entertainment-Lionsgate-IM Global-Screen Australia-Pandemonium-Cross Creek Pictures-Screen NSW-Demarest Films-Vendian Entertainment,2016-10-07,40000000.0,175302354.0,139.0,Released,8.189,11951.0,Andrew Garfield
Hypnotic,Mystery,en,267.683,Studio 8-Solstice Productions-Ingenious Media-Double R Productions,2023-05-11,70000000.0,9464308.0,94.0,Released,6.462,743.0,Ben Affleck
Five Nights at Freddy's,Horror,en,259.863,Blumhouse Productions-Scott Cawthon Productions,2023-10-25,20000000.0,290900000.0,110.0,Released,7.719,3276.0,Josh Hutcherson
Black Adam,Action,en,257.264,New Line Cinema-Flynn Picture Company-DC Films-Seven Bucks Productions,2022-10-19,200000000.0,393252111.0,124.0,Released,7.054,5217.0,Dwayne Johnson
The Beekeeper,Action,en,248.977,Miramax-Cedar Park Entertainment-Punch Palace Productions,2024-01-08,35000000.0,152720535.0,105.0,Released,7.4,2637.0,Jason Statham
M3GAN,Science Fiction,en,245.656,Atomic Monster-Blumhouse Productions-Divide / Conquer-Universal Pictures,2022-12-28,12000000.0,176830912.0,102.0,Released,7.308,2811.0,Allison Williams
The Super Mario Bros. Movie,Animation,en,244.799,Universal Pictures-Illumination-Nintendo,2023-04-05,100000000.0,1362000000.0,93.0,Released,7.685,8217.0,Chris Pratt
Venom: Let There Be Carnage,Science Fiction,en,237.124,Marvel Entertainment-Columbia Pictures-Pascal Pictures-Matt Tolmach Productions-Avi Arad Productions-Sony Pictures,2021-09-30,110000000.0,506863592.0,97.0,Released,6.873,8704.0,Tom Hardy
Godzilla,Action,en,236.273,Legendary Pictures,2014-05-14,160000000.0,529100000.0,123.0,Released,6.3,8764.0,Aaron Taylor
Wonka,Comedy,en,234.856,Warner Bros. Pictures-Village Roadshow Pictures-The Roald Dahl Story Company-Heyday Films-Domain Entertainment,2023-12-06,125000000.0,632302312.0,117.0,Released,7.159,3267.0,Timothée Chalamet
Eight Legged Freaks,Action,en,231.922,Centropolis Entertainment-Village Roadshow Pictures-NPV Entertainment-Electric Entertainment-Warner Bros. Pictures,2002-07-17,30000000.0,45867333.0,99.0,Released,5.741,1061.0,David Arquette
Deadpool 2,Action,en,231.478,Maximum Effort-Genre Films-20th Century Fox,2018-05-10,110000000.0,785900000.0,120.0,Released,7.491,16514.0,Ryan Reynolds
Jeepers Creepers: Reborn,Horror,en,230.032,Screen Media Films-Black Hangar Studios-Orwo Studios (US),2022-09-15,5000000.0,5954938.0,88.0,Released,5.775,649.0,Sydney Craven
Mad Max: Fury Road,Action,en,226.927,Warner Bros. Pictures-Village Roadshow Pictures-Kennedy Miller Mitchell-RatPac Entertainment,2015-05-13,150000000.0,378858340.0,121.0,Released,7.607,22148.0,Tom Hardy
Guardians of the Galaxy,Action,en,226.317,Marvel Studios,2014-07-30,170000000.0,772776600.0,121.0,Released,7.904,25891.0,Chris Pratt
Late Night with the Devil,Horror,en,225.804,Spooky Pictures-Future Pictures-Good Fiend Films-Image Nation Abu Dhabi-VicScreen-AGC Studios,2024-03-19,2000000.0,11902746.0,93.0,Released,7.307,892.0,David Dastmalchian
Deadpool,Action,en,220.276,20th Century Fox-The Donners' Company-Genre Films-Marvel Entertainment,2016-02-09,58000000.0,782837347.0,108.0,Released,7.615,30107.0,Ryan Reynolds
Harry Potter and the Goblet of Fire,Adventure,en,220.17,Warner Bros. Pictures-Heyday Films-Patalex IV Productions Limited,2005-11-16,150000000.0,895921036.0,157.0,Released,7.817,18491.0,Daniel Radcliffe
Evil Dead II,Horror,en,217.484,Rosebud Releasing Corporation-Renaissance Pictures-Dino De Laurentiis Company,1987-03-13,3500000.0,10900000.0,84.0,Released,7.5,2998.0,Bruce Campbell
Bad Boys,Action,en,217.438,Columbia Pictures-Don Simpson/Jerry Bruckheimer Films,1995-04-07,19000000.0,141407024.0,119.0,Released,6.81,6180.0,Will Smith
Spider-Man: No Way Home,Action,en,215.904,Marvel Studios-Pascal Pictures-Columbia Pictures,2021-12-15,200000000.0,1921847111.0,148.0,Released,7.992,18149.0,Tom Holland
Harry Potter and the Philosopher's Stone,Adventure,en,215.424,Warner Bros. Pictures-Heyday Films-1492 Pictures,2001-11-16,125000000.0,976475550.0,152.0,Released,7.913,24348.0,Daniel Radcliffe
A Street Cat Named Bob,Family,en,215.361,Iris Productions-Shooting Script Films-Prescience-Stage 6 Films,2016-11-04,8000000.0,17900000.0,103.0,Released,7.923,1395.0,Luke Treadaway
Shrek,Animation,en,207.13,DreamWorks Pictures-Pacific Data Images-DreamWorks Animation,2001-05-18,60000000.0,487853320.0,90.0,Released,7.716,14992.0,Mike Myers
Guardians of the Galaxy Vol. 3,Science Fiction,en,205.855,Marvel Studios-Kevin Feige Productions,2023-05-03,250000000.0,845600000.0,150.0,Released,7.976,6424.0,Chris Pratt
Doctor Strange,Action,en,205.323,Marvel Studios,2016-10-25,180000000.0,676343174.0,115.0,Released,7.422,21691.0,Benedict Cumberbatch
Avengers: Endgame,Adventure,en,201.42,Marvel Studios,2019-04-24,356000000.0,2799439100.0,181.0,Released,8.268,22759.0,Robert Downey Jr.
Transformers: Age of Extinction,Science Fiction,en,199.987,di Bonaventura Pictures-Tom DeSanto/Don Murphy Production-Ian Bryce Productions-Paramount,2014-06-25,210000000.0,1104054072.0,165.0,Released,5.9,7328.0,Mark Wahlberg
The Lord of the Rings: The Fellowship of the Ring,Adventure,en,197.092,New Line Cinema-WingNut Films-The Saul Zaentz Company,2001-12-18,93000000.0,871368364.0,179.0,Released,8.415,24586.0,Elijah Wood
Kama Sutra: A Tale of Love,Drama,en,195.639,Pandora Film-Mirabai Films-NDF International,1996-09-11,3000000.0,4109095.0,117.0,Released,5.6,135.0,Indira Varma
Harry Potter and the Order of the Phoenix,Adventure,en,195.015,Warner Bros. Pictures-Heyday Films,2007-06-28,150000000.0,938212738.0,138.0,Released,7.7,17471.0,Daniel Radcliffe
Bad Boys II,Action,en,194.402,Columbia Pictures-Don Simpson/Jerry Bruckheimer Films,2003-07-18,130000000.0,273339556.0,146.0,Released,6.631,5289.0,Martin Lawrence
Beverly Hills Cop,Comedy,en,191.849,Paramount Pictures-Eddie Murphy Productions-Don Simpson/Jerry Bruckheimer Films,1984-12-05,14000000.0,316360478.0,105.0,Released,7.193,3955.0,Eddie Murphy
Madame Web,Action,en,191.037,Columbia Pictures-di Bonaventura Pictures,2024-02-14,80000000.0,100298817.0,116.0,Released,5.532,1644.0,Dakota Johnson
Fantastic Beasts: The Secrets of Dumbledore,Fantasy,en,190.547,Warner Bros. Pictures-Heyday Films,2022-04-06,200000000.0,406950844.0,142.0,Released,6.8,3349.0,Eddie Redmayne
Kung Fu Panda,Action,en,188.643,DreamWorks Animation,2008-06-04,130000000.0,632091832.0,90.0,Released,7.3,11173.0,Jack Black
Avengers: Infinity War,Adventure,en,188.593,Marvel Studios,2018-04-25,300000000.0,2052415039.0,149.0,Released,8.255,27635.0,Robert Downey Jr.
Fifty Shades Freed,Drama,en,188.422,Universal Pictures-Perfect World Pictures,2018-01-17,55000000.0,368307760.0,105.0,Released,6.699,7194.0,Dakota Johnson
Meet the Robinsons,Animation,en,188.259,Walt Disney Pictures-Walt Disney Animation Studios,2007-03-23,150000000.0,169332978.0,95.0,Released,6.889,2496.0,Daniel Hansen
Charlie and the Chocolate Factory,Adventure,en,186.776,Warner Bros. Pictures-Village Roadshow Pictures-The Zanuck Company-Plan B Entertainment-Theobald Film Productions,2005-07-13,150000000.0,475000000.0,115.0,Released,7.049,14453.0,Johnny Depp
Blade Runner 2049,Science Fiction,en,186.725,Alcon Entertainment-Columbia Pictures-Scott Free Productions-Bud Yorkin Productions-Torridon Films-16:14 Entertainment-Thunderbird Entertainment,2017-10-04,150000000.0,259239658.0,164.0,Released,7.562,13284.0,Ryan Gosling
Interstellar,Adventure,en,186.254,Legendary Pictures-Syncopy-Lynda Obst Productions,2014-11-05,165000000.0,701729206.0,169.0,Released,8.439,34857.0,Matthew McConaughey
Garfield,Animation,en,186.093,Davis Entertainment-20th Century Fox,2004-06-10,50000000.0,200804534.0,80.0,Released,5.667,3668.0,Bill Murray
Sound of Freedom,Action,en,184.28,Santa Fe Films,2023-07-03,14500000.0,249100000.0,131.0,Released,8.061,1801.0,Jim Caviezel
"Miraculous: Ladybug & Cat Noir, The Movie",Animation,fr,183.787,ON Animation Studios-The Awakening Production-SND-Zagtoon-Method Animation-Fantawild-Mediawan,2023-07-05,86000000.0,39347134.0,107.0,Released,7.76,713.0,Annouck Hautbois
Harry Potter and the Prisoner of Azkaban,Adventure,en,183.403,Warner Bros. Pictures-1492 Pictures-Heyday Films-P of A Productions Limited,2004-05-31,130000000.0,789804554.0,141.0,Released,8.021,19192.0,Daniel Radcliffe
PAW Patrol: The Mighty Movie,Animation,en,183.373,Nickelodeon Movies-Spin Master-Paramount Pictures-Mikros Image,2023-09-21,30000000.0,202231360.0,92.0,Released,7.089,404.0,Mckenna Grace
After Everything,Romance,en,182.524,Voltage Pictures-Wattpad,2023-09-13,14000000.0,10600000.0,93.0,Released,7.001,594.0,Hero Fiennes Tiffin
Hotel Transylvania: Transformania,Animation,en,182.259,Sony Pictures Animation-Sony Pictures-MRC-Columbia Pictures,2022-01-31,75000000.0,18500000.0,92.0,Released,7.09,2650.0,Brian Hull
Fly Me to the Moon,Comedy,en,177.468,These Pictures-Berlanti Productions-Apple Studios,2024-07-06,100000000.0,19000000.0,132.0,Released,7.452,52.0,Scarlett Johansson
Knock at the Cabin,Horror,en,176.649,Blinding Edge Pictures-Universal Pictures-FilmNation Entertainment-Wishmore-dentsu,2023-02-01,20000000.0,54708659.0,100.0,Released,6.367,1668.0,Dave Bautista
Coraline,Animation,en,170.544,Laika-Pandemonium,2009-02-05,60000000.0,131800000.0,100.0,Released,7.871,7586.0,Dakota Fanning
Cocaine Bear,Thriller,en,170.42,Universal Pictures-Brownstone Productions-Lord Miller,2023-02-22,32500000.0,87649532.0,96.0,Released,6.219,1358.0,Keri Russell
Dawn of the Planet of the Apes,Science Fiction,en,169.174,TSG Entertainment-Chernin Entertainment-Ingenious Media,2014-07-08,170000000.0,710644566.0,130.0,Released,7.329,11155.0,Andy Serkis
Fifty Shades of Grey,Drama,en,168.905,Focus Features-Michael De Luca Productions-Trigger Street Productions,2015-02-11,40000000.0,571006128.0,125.0,Released,5.9,10758.0,Dakota Johnson
The Whale,Drama,en,167.952,A24-Protozoa Pictures,2022-12-09,3000000.0,55101305.0,116.0,Released,8.008,2470.0,Brendan Fraser
Titanic,Drama,en,167.631,Paramount-20th Century Fox-Lightstorm Entertainment,1997-11-18,200000000.0,2187463944.0,194.0,Released,7.89,22529.0,Leonardo DiCaprio
Turning Red,Animation,en,167.028,Walt Disney Pictures-Pixar,2022-03-10,175000000.0,21328962.0,100.0,Released,7.4,4887.0,Rosalie Chiang
Kong: Skull Island,Action,en,165.878,Legendary Pictures-Tencent Pictures,2017-03-08,185000000.0,566652812.0,118.0,Released,6.5,10078.0,Tom Hiddleston
The Batman,Crime,en,165.673,6th & Idaho-Dylan Clark Productions-DC Films-Warner Bros. Pictures,2022-03-01,185000000.0,770945583.0,177.0,Released,7.714,8191.0,Robert Pattinson
Saw II,Horror,en,165.618,Got Films-Twisted Pictures-Evolution Entertainment-Saw 2 Productions-Lionsgate,2005-10-28,4000000.0,147748505.0,93.0,Released,6.569,4832.0,Tobin Bell
Get Out,Mystery,en,164.995,Monkeypaw Productions-Blumhouse Productions-QC Entertainment,2017-02-24,4500000.0,255407969.0,104.0,Released,7.622,16905.0,Daniel Kaluuya
Morbius,Action,en,164.75,Columbia Pictures-Avi Arad Productions-Matt Tolmach Productions,2022-03-30,75000000.0,167460961.0,105.0,Released,6.181,3385.0,Jared Leto
The Lost City,Action,en,161.315,Paramount-Fortis Films-Exhibit A Film-3dot Productions,2022-03-24,74000000.0,190844029.0,112.0,Released,6.654,2567.0,Sandra Bullock
